Txn Hash,Block,Time(UTC),From,To,Token,Token Symbol,Amount/TokenID,Result,Status
a7704422b067d394b3552dda54e5c6f96cfdb19cc9855b06a469fbe43a625bfa,71590215,2025-04-23 16:26:33,TS5v9Z9frcc6zerQmUsLBCEp28fdabNZC7,TB5wyxUZA8ndhVGvxrk8vZMvFSzDtwRTzR,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,4.567024000000000000,SUCCESS,CONFIRMED
a7704422b067d394b3552dda54e5c6f96cfdb19cc9855b06a469fbe43a625bfa,71590215,2025-04-23 16:26:33,TS5v9Z9frcc6zerQmUsLBCEp28fdabNZC7,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,0.046131000000000000,SUCCESS,CONFIRMED
a7704422b067d394b3552dda54e5c6f96cfdb19cc9855b06a469fbe43a625bfa,71590215,2025-04-23 16:26:33,TN9gRWAE958XpAgyW9dcRUccKqxveWdT7d,TS5v9Z9frcc6zerQmUsLBCEp28fdabNZC7,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,4.619736000000000000,SUCCESS,CONFIRMED
a7704422b067d394b3552dda54e5c6f96cfdb19cc9855b06a469fbe43a625bfa,71590215,2025-04-23 16:26:33,TN9gRWAE958XpAgyW9dcRUccKqxveWdT7d,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,0.046664000000000000,SUCCESS,CONFIRMED
2b0359d504d83824de4ab16e8bae985659dbd58f89a93ddeed53516de3449377,71563195,2025-04-22 17:55:09,TXmrEM8ZDR6smuXwmYjJyMT6Q3n88MQPUW,TTDW4dFH5JKxoFM8Jm2YZYkpEcAqc1CTQG,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,4.357326000000000000,SUCCESS,CONFIRMED
2b0359d504d83824de4ab16e8bae985659dbd58f89a93ddeed53516de3449377,71563195,2025-04-22 17:55:09,TXmrEM8ZDR6smuXwmYjJyMT6Q3n88MQPUW,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,0.044013000000000000,SUCCESS,CONFIRMED
2b0359d504d83824de4ab16e8bae985659dbd58f89a93ddeed53516de3449377,71563195,2025-04-22 17:55:09,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TXmrEM8ZDR6smuXwmYjJyMT6Q3n88MQPUW,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,4.401339000000000000,SUCCESS,CONFIRMED
2b0359d504d83824de4ab16e8bae985659dbd58f89a93ddeed53516de3449377,71563195,2025-04-22 17:55:09,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,0.044457000000000000,SUCCESS,CONFIRMED
cb9f1c6491e06016db330a8626d9d29ac09d51b0cd320f6e3d3deb644fe98925,71563121,2025-04-22 17:51:27,TXmrEM8ZDR6smuXwmYjJyMT6Q3n88MQPUW,TN9gRWAE958XpAgyW9dcRUccKqxveWdT7d,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,16.626104000000000000,SUCCESS,CONFIRMED
cb9f1c6491e06016db330a8626d9d29ac09d51b0cd320f6e3d3deb644fe98925,71563121,2025-04-22 17:51:27,TXmrEM8ZDR6smuXwmYjJyMT6Q3n88MQPUW,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,0.167940000000000000,SUCCESS,CONFIRMED
cb9f1c6491e06016db330a8626d9d29ac09d51b0cd320f6e3d3deb644fe98925,71563121,2025-04-22 17:51:27,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TXmrEM8ZDR6smuXwmYjJyMT6Q3n88MQPUW,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,16.794044000000000000,SUCCESS,CONFIRMED
cb9f1c6491e06016db330a8626d9d29ac09d51b0cd320f6e3d3deb644fe98925,71563121,2025-04-22 17:51:27,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,0.169636000000000000,SUCCESS,CONFIRMED
06b4c58963ba3065a6094d60b064c717a05ee6e41a7ee63019fe9029e1323bcb,71562800,2025-04-22 17:35:24,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TFZZqYgTnuaVUsu3ZS9jULerWjqd7TLtDC,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,39.600000000000000000,SUCCESS,CONFIRMED
06b4c58963ba3065a6094d60b064c717a05ee6e41a7ee63019fe9029e1323bcb,71562800,2025-04-22 17:35:24,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,0.400000000000000000,SUCCESS,CONFIRMED
577811dd03ee49b97cfbb65be0d45cfe05b087ed5ac64cdaa7d30358552629c7,71557054,2025-04-22 12:48:06,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TKy77TXEjD6pBBLSffa8EfXNDfSirJ3c4T,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,99.990000000000000000,SUCCESS,CONFIRMED
577811dd03ee49b97cfbb65be0d45cfe05b087ed5ac64cdaa7d30358552629c7,71557054,2025-04-22 12:48:06,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,1.010000000000000000,SUCCESS,CONFIRMED
a1cdc0a0e0d12271a70d81ee49d6a1ff54ccbd80ad94701098b823a497dff4e6,71537512,2025-04-21 20:30:42,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,TDD7LQc2pvHCUJCb4DxMyePYBhnxUTaqrv,TEpGiLGNB7W9W26LbvtU9wdukrLgLZwFgr,USDTg,10.890000000000000000,SUCCESS,CONFIRMED
